epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8558,0.90395,3.67876,0.97085,0.0148,0.92205,0.10323,0.08918,0.57338,3.17537,0.82604,0.000182482,0.000182482,0.000182482
2,51.1407,0.7498,2.70262,0.92879,0.29038,0.34024,0.17673,0.15223,0.58861,2.24111,0.85802,0.000364174,0.000364174,0.000364174
3,73.4762,0.72013,2.43626,0.92486,0.36611,0.46377,0.26843,0.23498,0.55926,1.86725,0.84835,0.000542196,0.000542196,0.000542196
4,95.5298,0.70137,2.25097,0.91244,0.43107,0.38226,0.3278,0.28654,0.54391,1.71032,0.8367,0.000539487,0.000539487,0.000539487
5,116.179,0.67372,2.10547,0.91084,0.69592,0.32476,0.40789,0.36434,0.54579,1.62336,0.84968,0.000533982,0.000533982,0.000533982
6,137.988,0.65339,2.02772,0.90758,0.37181,0.54077,0.44521,0.39784,0.49999,1.46493,0.83306,0.000528478,0.000528478,0.000528478
7,160.304,0.66072,1.9416,0.90511,0.41346,0.46572,0.45563,0.40568,0.52157,1.57157,0.83687,0.000522974,0.000522974,0.000522974
8,180.846,0.63439,1.84176,0.89958,0.43328,0.50143,0.52595,0.471,0.51701,1.4078,0.83685,0.000517469,0.000517469,0.000517469
9,202.219,0.64261,1.78376,0.90036,0.47932,0.5164,0.51595,0.46474,0.48773,1.43619,0.83393,0.000511965,0.000511965,0.000511965
10,223.937,0.62954,1.70317,0.90113,0.58105,0.46705,0.52015,0.46638,0.5065,1.31725,0.83735,0.00050646,0.00050646,0.00050646
11,244.693,0.61086,1.63493,0.89368,0.69644,0.44432,0.51914,0.46695,0.48567,1.33518,0.82689,0.000500956,0.000500956,0.000500956
12,266.304,0.59724,1.53865,0.88836,0.61878,0.52203,0.5406,0.4847,0.46966,1.2773,0.82796,0.000495452,0.000495452,0.000495452
13,288.206,0.59076,1.53435,0.88937,0.52498,0.5541,0.56153,0.50606,0.4769,1.29629,0.82974,0.000489947,0.000489947,0.000489947
14,309.243,0.60134,1.49438,0.89721,0.64319,0.53946,0.55299,0.49674,0.4739,1.20998,0.82736,0.000484443,0.000484443,0.000484443
15,330.874,0.57553,1.40603,0.88155,0.67543,0.53812,0.58451,0.53071,0.45757,1.19542,0.82404,0.000478938,0.000478938,0.000478938
16,353.243,0.57597,1.37017,0.8822,0.5634,0.59129,0.64412,0.58578,0.46166,1.19731,0.82594,0.000473434,0.000473434,0.000473434
17,373.704,0.55995,1.29051,0.87331,0.65092,0.54627,0.59072,0.53453,0.46134,1.24285,0.82434,0.00046793,0.00046793,0.00046793
18,395.613,0.5756,1.30917,0.88711,0.65993,0.54132,0.6185,0.56053,0.46604,1.1216,0.8258,0.000462425,0.000462425,0.000462425
19,417.359,0.57074,1.27838,0.87628,0.59693,0.64418,0.67162,0.61312,0.45181,1.07529,0.82686,0.000456921,0.000456921,0.000456921
20,438.332,0.55701,1.21749,0.87668,0.61137,0.60451,0.65438,0.58795,0.46299,1.10281,0.82176,0.000451416,0.000451416,0.000451416
21,460.463,0.56061,1.16731,0.88488,0.61163,0.66694,0.6757,0.61906,0.43172,1.01763,0.81495,0.000445912,0.000445912,0.000445912
22,482.634,0.55119,1.14258,0.87721,0.63945,0.68869,0.69197,0.6283,0.43433,0.99625,0.81849,0.000440408,0.000440408,0.000440408
23,503.701,0.5366,1.11601,0.87406,0.63894,0.69806,0.70437,0.64174,0.46277,1.00562,0.82582,0.000434903,0.000434903,0.000434903
24,525.518,0.53531,1.08337,0.87576,0.68015,0.62259,0.68997,0.62856,0.4375,1.02119,0.81923,0.000429399,0.000429399,0.000429399
25,546.791,0.53144,1.09087,0.87552,0.59718,0.70455,0.70419,0.65252,0.41924,1.0028,0.81213,0.000423894,0.000423894,0.000423894
26,566.99,0.5364,1.06192,0.87064,0.56552,0.69241,0.6687,0.61094,0.43985,1.04218,0.8154,0.00041839,0.00041839,0.00041839
27,588.483,0.5388,1.0161,0.87044,0.70689,0.62642,0.72501,0.66536,0.43951,0.92293,0.81982,0.000412886,0.000412886,0.000412886
28,609.874,0.53769,0.99683,0.87055,0.75499,0.6833,0.76218,0.69859,0.41641,0.92116,0.81617,0.000407381,0.000407381,0.000407381
29,630.381,0.53753,0.97434,0.87413,0.6964,0.73454,0.75194,0.68023,0.41873,0.92127,0.81233,0.000401877,0.000401877,0.000401877
30,651.887,0.54289,0.94147,0.88277,0.76761,0.65965,0.74288,0.67911,0.42786,0.89487,0.8176,0.000396372,0.000396372,0.000396372
31,672.862,0.52262,0.89969,0.86579,0.79404,0.67981,0.75512,0.69078,0.41588,0.87598,0.81492,0.000390868,0.000390868,0.000390868
32,694.096,0.50759,0.88007,0.86531,0.75206,0.75237,0.78483,0.7215,0.41523,0.84126,0.81588,0.000385364,0.000385364,0.000385364
33,715.902,0.5075,0.87684,0.86413,0.70192,0.68636,0.73861,0.67944,0.41266,0.85777,0.81322,0.000379859,0.000379859,0.000379859
34,736.428,0.51575,0.854,0.86629,0.77685,0.65688,0.74029,0.67501,0.41383,0.92106,0.81482,0.000374355,0.000374355,0.000374355
35,758.129,0.52377,0.87424,0.87112,0.77014,0.72282,0.78743,0.71506,0.41304,0.77373,0.81307,0.00036885,0.00036885,0.00036885
36,779.485,0.51851,0.83018,0.87364,0.73823,0.74616,0.76158,0.70699,0.39176,0.80245,0.80801,0.000363346,0.000363346,0.000363346
37,800.106,0.51555,0.82204,0.86984,0.7744,0.73629,0.7738,0.71664,0.39898,0.78344,0.8086,0.000357842,0.000357842,0.000357842
